time,low,high,open,close,vol
2025-11-21 00:30:00+00:00,86927.13,87395.93,87176.1,87117.19,161.66378202
2025-11-21 00:45:00+00:00,87084.2,87336.0,87115.99,87177.4,108.59585779
2025-11-21 01:00:00+00:00,86978.68,87360.0,87177.4,87038.81,123.56653005
2025-11-21 01:15:00+00:00,86720.9,87284.29,87038.81,87174.64,209.30794025
2025-11-21 01:30:00+00:00,86800.85,87220.0,87174.65,87131.51,95.45922705
2025-11-21 01:45:00+00:00,86888.0,87220.0,87131.5,86941.51,88.5548664
2025-11-21 02:00:00+00:00,86293.66,86967.59,86942.08,86331.99,213.84416951
2025-11-21 02:15:00+00:00,86066.79,86690.61,86335.98,86392.18,258.78215662
2025-11-21 02:30:00+00:00,85777.0,86555.83,86392.18,85801.97,284.84715574
2025-11-21 02:45:00+00:00,85266.03,86151.63,85811.81,85346.8,380.5748188
2025-11-21 03:00:00+00:00,85320.44,85948.01,85337.29,85682.02,207.91886875
2025-11-21 03:15:00+00:00,85333.34,85865.68,85682.01,85578.44,255.8495459
2025-11-21 03:30:00+00:00,85470.85,86029.97,85578.43,85950.04,196.59782642
2025-11-21 03:45:00+00:00,85713.99,86025.95,85950.04,85718.02,216.88232559
2025-11-21 04:00:00+00:00,85513.99,85789.39,85718.02,85603.84,124.80364701
2025-11-21 04:15:00+00:00,85508.14,85799.42,85603.84,85749.22,157.69758353
2025-11-21 04:30:00+00:00,85292.3,85895.54,85750.91,85771.62,192.06844482
2025-11-21 04:45:00+00:00,85610.0,86016.35,85771.62,85944.83,128.45010524
2025-11-21 05:00:00+00:00,85851.02,86141.94,85944.82,86101.5,130.26865539
2025-11-21 05:15:00+00:00,86032.25,86250.0,86099.05,86103.65,115.5777624
2025-11-21 05:30:00+00:00,85718.09,86202.0,86103.65,85945.99,133.63902562
2025-11-21 05:45:00+00:00,85856.12,86120.55,85945.98,86084.86,77.69076195
2025-11-21 06:00:00+00:00,85706.97,86151.0,86084.85,85862.52,126.51299303
