time,funding
2026-06-26 16:00:00+00:00,2.916e-05
2026-06-27 00:00:00+00:00,1.683e-05
2026-06-27 08:00:00+00:00,-1.361e-05
2026-06-27 16:00:00+00:00,-3.171e-05
2026-06-28 00:00:00+00:00,-3.906e-05
2026-06-28 08:00:00+00:00,-4.872e-05
2026-06-28 16:00:00+00:00,2.49e-06
2026-06-29 00:00:00+00:00,-2.896e-05
2026-06-29 08:00:00+00:00,3.363e-05
2026-06-29 16:00:00+00:00,6.97e-06
2026-06-30 00:00:00+00:00,4.858e-05
2026-06-30 08:00:00+00:00,-3.49e-05
2026-06-30 16:00:00+00:00,6.6e-06
2026-07-01 00:00:00+00:00,7.185e-05
2026-07-01 08:00:00+00:00,7.534e-05
2026-07-01 16:00:00+00:00,7.063e-05
2026-07-02 00:00:00+00:00,8.535e-05
2026-07-02 08:00:00+00:00,4.814e-05
2026-07-02 16:00:00+00:00,7.85e-05
2026-07-03 00:00:00+00:00,9.4e-06
2026-07-03 08:00:00+00:00,9.828e-05
2026-07-03 16:00:00+00:00,7.795e-05
2026-07-04 00:00:00+00:00,3.129e-05
2026-07-04 08:00:00+00:00,5.41e-05
2026-07-04 16:00:00+00:00,5.822e-05
2026-07-05 00:00:00+00:00,3.938e-05
2026-07-05 08:00:00+00:00,1.796e-05
2026-07-05 16:00:00+00:00,3.535e-05
2026-07-06 00:00:00+00:00,8.352e-05
2026-07-06 08:00:00+00:00,5.038e-05
2026-07-06 16:00:00+00:00,4.799e-05
2026-07-07 00:00:00+00:00,0.0001
2026-07-07 08:00:00+00:00,-7.23e-06
2026-07-07 16:00:00+00:00,3.827e-05
2026-07-08 00:00:00+00:00,3.28e-06
2026-07-08 08:00:00+00:00,-4.537e-05
2026-07-08 16:00:00+00:00,2.581e-05
2026-07-09 00:00:00+00:00,4.966e-05
2026-07-09 08:00:00+00:00,3.079e-05
2026-07-09 16:00:00+00:00,1.279e-05
2026-07-10 00:00:00+00:00,1.575e-05
2026-07-10 08:00:00+00:00,8.735e-05
2026-07-10 16:00:00+00:00,4.938e-05
2026-07-11 00:00:00+00:00,3.743e-05
2026-07-11 08:00:00+00:00,1.728e-05
2026-07-11 16:00:00+00:00,4.533e-05
2026-07-12 00:00:00+00:00,2.3e-06
2026-07-12 08:00:00+00:00,-2.554e-05
2026-07-12 16:00:00+00:00,6.062e-05
2026-07-13 00:00:00+00:00,2.797e-05
2026-07-13 08:00:00+00:00,4.24e-06
2026-07-13 16:00:00+00:00,3.082e-05
2026-07-14 00:00:00+00:00,-4.79e-06
2026-07-14 08:00:00+00:00,3.982e-05
2026-07-14 16:00:00+00:00,0.0001
2026-07-15 00:00:00+00:00,6.612e-05
2026-07-15 08:00:00+00:00,4.819e-05
2026-07-15 16:00:00+00:00,5.944e-05
2026-07-16 00:00:00+00:00,2.206e-05
2026-07-16 08:00:00+00:00,4.514e-05
2026-07-16 16:00:00+00:00,4.05e-05
2026-07-17 00:00:00+00:00,4.53e-05
2026-07-17 08:00:00+00:00,1.177e-05
2026-07-17 16:00:00+00:00,3.372e-05
2026-07-18 00:00:00+00:00,1.83e-05
2026-07-18 08:00:00+00:00,3.31e-06
2026-07-18 16:00:00+00:00,2.807e-05
2026-07-19 00:00:00+00:00,3.476e-05
2026-07-19 08:00:00+00:00,4.861e-05
2026-07-19 16:00:00+00:00,7.528e-05
2026-07-20 00:00:00+00:00,6.325e-05
2026-07-20 08:00:00+00:00,-7.69e-06
2026-07-20 16:00:00+00:00,5.649e-05
2026-07-21 00:00:00+00:00,4.215e-05
2026-07-21 08:00:00+00:00,0.0001
2026-07-21 16:00:00+00:00,3.134e-05
2026-07-22 00:00:00+00:00,2.594e-05
2026-07-22 08:00:00+00:00,-1.734e-05
2026-07-22 16:00:00+00:00,5.349e-05
2026-07-23 00:00:00+00:00,-3.19e-06
2026-07-23 08:00:00+00:00,-1.177e-05
2026-07-23 16:00:00+00:00,2.35e-06
2026-07-24 00:00:00+00:00,-1.694e-05
2026-07-24 08:00:00+00:00,2.5e-05
2026-07-24 16:00:00+00:00,1.49e-06
2026-07-25 00:00:00+00:00,4.002e-05
2026-07-25 08:00:00+00:00,2.553e-05
2026-07-25 16:00:00+00:00,6.889e-05
2026-07-26 00:00:00+00:00,1.161e-05
2026-07-26 08:00:00+00:00,6.107e-05
2026-07-26 16:00:00+00:00,7.67e-05
2026-07-27 00:00:00+00:00,7.711e-05
2026-07-27 08:00:00+00:00,3.5e-05
2026-07-27 16:00:00+00:00,1.043e-05
2026-07-28 00:00:00+00:00,-9.56e-06
